,transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,age,ageCategory,corridorID,corridorName,serviceType,direction,distance_km,seqDiff,tripDuration,dayOfWeek,peakHour,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
0,EIIW227B8L34VB,180062659848800,emoney,Bajragin Usada,Male,2008,15,Teenager,5,Matraman Baru - Ancol,BRT,1.0,2.51,5,0.652,Monday,True,Pal Putih,-6.184631,106.84402,7,2023-04-03 05:21:44,Tegalan,-6.203101,106.85715,12,2023-04-03 06:00:53,3500.0
2,DJWR385V2U57TO,4996225095064169,dki,Emong Wastuti,Female,1992,31,Adult,R1A,Pantai Maju - Kota,BRT,0.0,0.08,1,0.864,Monday,True,Gg. Kunir II,-6.133132,106.81435,38,2023-04-03 05:59:06,Simpang Kunir Kemukus,-6.133731,106.81475,39,2023-04-03 06:50:55,3500.0
4,VMLO535V7F95NJ,570928206772,flazz,Embuh Mardhiyah,Male,1982,41,Adult,12,Tanjung Priok - Pluit,BRT,0.0,8.73,10,0.658,Monday,True,Sunter Boulevard Barat,-6.14965,106.889,5,2023-04-03 06:17:35,Kali Besar Barat,-6.135355,106.81143,15,2023-04-03 06:57:03,3500.0
11,IIEK980X1O23NZ,347204308990092,emoney,R.M. Labuh Laksmiwati,Female,1984,39,Adult,M7B,BKN - Blok M,BRT,1.0,0.65,2,0.47,Monday,True,Tendean,-6.240213,106.83102,12,2023-04-03 06:22:10,Mampang Prapatan,-6.242699,106.82572,14,2023-04-03 06:50:21,3500.0
12,OPLW560U3S06UG,3536759468239783,dki,Shakila Maryadi,Female,1988,35,Adult,9A,PGC 2 - Grogol 2,BRT,1.0,2.6,2,0.891,Monday,True,Slipi Petamburan Arah Selatan,-6.201948,106.79998,4,2023-04-03 06:15:04,Semanggi,-6.22111,106.81354,6,2023-04-03 07:08:31,3500.0
13,XESX233R4U46DN,6575130739600630,dki,Danuja Usada,Female,2002,21,Young Adult,4,Pulo Gadung 2 - Tosari,BRT,1.0,1.74,2,0.922,Monday,True,Pasar Rumput,-6.207125,106.84112,2,2023-04-03 06:12:14,Matraman 2,-6.19891,106.8545,4,2023-04-03 07:07:35,3500.0
15,KLUN542I2F21PI,4532407180860336,dki,H. Lutfan Nurdiyanti,Male,2011,12,Children,S22,Ciputat - Kampung Rambutan,BRT,0.0,1.12,2,0.399,Monday,True,SMK Darussalam,-6.319946,106.74598,1,2023-04-03 06:43:20,Pusdiklat Kemenag 1,-6.312075,106.75228,3,2023-04-03 07:07:17,3500.0
16,XDMP644Z5Y29DB,4556326832434362836,brizzi,Sari Nababan,Female,2004,19,Young Adult,13,Ciledug - Tendean,BRT,1.0,0.78,1,0.965,Monday,True,JORR,-6.236104,106.75488,10,2023-04-03 06:49:48,Adam Malik,-6.236466,106.74786,11,2023-04-03 07:47:42,3500.0
18,SBPQ144H4S45RA,502034641014,flazz,"Adikara Kurniawan, S.Sos",Male,2003,20,Young Adult,9,Pinang Ranti - Pluit,BRT,1.0,13.41,14,0.714,Monday,True,Jembatan Tiga Arah Utara,-6.133383,106.79267,2,2023-04-03 06:24:23,Pancoran Tugu Arah Barat,-6.2433,106.84388,16,2023-04-03 07:07:12,3500.0
20,MEFW094B7A84RS,378872365541693,emoney,Aslijan Irawan,Female,2009,14,Teenager,T11,Poris Plawad - Bundaran Senayan,BRT,1.0,14.64,18,0.931,Monday,True,RS Harapan Kita Arah Utara,-6.184489,106.79674,6,2023-04-03 05:13:08,Term. Poris Plawad,-6.172859,106.66501,24,2023-04-03 06:08:59,3500.0
